"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 25, 2004","1,105.19","1,118.67","1,130.81","1,101.99","-","-1.19%"
"Jun 24, 2004","1,118.50","1,110.37","1,129.55","1,101.72","-","0.76%"
"Jun 23, 2004","1,110.09","1,116.50","1,128.57","1,108.92","-","-0.63%"
"Jun 22, 2004","1,117.15","1,145.44","1,145.76","1,115.87","-","-2.53%"
"Jun 21, 2004","1,146.14","1,122.81","1,158.56","1,122.81","-","2.17%"
"Jun 18, 2004","1,121.76","1,119.73","1,134.25","1,109.83","-","0.24%"
"Jun 17, 2004","1,119.07","1,029.08","1,119.89","1,024.05","-","8.78%"
"Jun 16, 2004","1,028.78","1,026.05","1,030.41","985.69","-","0.30%"
"Jun 15, 2004","1,025.75","1,062.12","1,062.12","1,010.00","-","-3.49%"
"Jun 11, 2004","1,062.85","1,074.39","1,080.61","1,050.58","-","-1.04%"
"Jun 10, 2004","1,074.05","1,092.76","1,092.98","1,058.65","-","-1.71%"
"Jun 09, 2004","1,092.76","1,104.77","1,114.78","1,089.84","-","-1.03%"
"Jun 08, 2004","1,104.14","1,095.53","1,105.75","1,081.92","-","0.78%"
"Jun 07, 2004","1,095.64","1,071.45","1,096.03","1,067.63","-","2.33%"
"Jun 04, 2004","1,070.72","1,094.89","1,100.48","1,062.73","-","-2.24%"
"Jun 03, 2004","1,095.20","1,089.12","1,104.10","1,059.54","-","0.62%"
"Jun 02, 2004","1,088.50","1,041.73","1,088.70","1,030.35","-","4.50%"
"Jun 01, 2004","1,041.58","1,085.05","1,093.53","1,026.84","-","-4.03%"
"May 31, 2004","1,085.34","1,081.10","1,093.46","1,072.19","-","0.50%"
"May 28, 2004","1,079.90","1,129.88","1,130.35","1,079.35","-","-4.34%"
"May 27, 2004","1,128.93","1,142.85","1,160.27","1,120.23","-","-1.17%"
"May 26, 2004","1,142.29","1,124.83","1,155.55","1,123.69","-","1.64%"
"May 25, 2004","1,123.89","1,166.12","1,173.89","1,122.28","-","-3.63%"
"May 24, 2004","1,166.24","1,158.13","1,169.42","1,150.26","-","0.72%"
"May 21, 2004","1,157.85","1,154.98","1,161.63","1,140.27","-","0.34%"
"May 20, 2004","1,153.96","1,153.64","1,166.16","1,144.04","-","0.00%"
"May 19, 2004","1,153.92","1,121.64","1,166.13","1,107.62","-","2.99%"
"May 18, 2004","1,120.42","1,124.16","1,139.01","1,111.81","-","-0.31%"
"May 17, 2004","1,123.87","1,069.40","1,124.28","1,058.23","-","4.99%"
"May 14, 2004","1,070.48","1,089.99","1,092.45","1,053.76","-","-1.71%"
"May 13, 2004","1,089.14","1,080.18","1,107.94","1,067.90","-","0.84%"
"May 12, 2004","1,080.04","1,053.85","1,100.62","1,053.85","-","2.73%"
"May 11, 2004","1,051.29","1,083.72","1,083.72","1,008.56","-","-3.55%"
"May 07, 2004","1,089.96","1,144.61","1,144.61","1,075.74","-","-4.85%"
"May 06, 2004","1,145.57","1,158.10","1,162.65","1,143.16","-","-1.02%"
"May 05, 2004","1,157.43","1,130.94","1,163.13","1,130.94","-","2.55%"
"Apr 30, 2004","1,128.60","1,122.96","1,139.98","1,114.42","-","0.59%"
"Apr 29, 2004","1,122.02","1,190.74","1,190.74","1,102.55","-","-6.07%"
"Apr 28, 2004","1,194.50","1,207.75","1,220.44","1,189.16","-","-1.07%"
"Apr 27, 2004","1,207.47","1,189.38","1,208.20","1,176.17","-","1.53%"
"Apr 26, 2004","1,189.25","1,202.38","1,227.34","1,188.72","-","-1.01%"
"Apr 23, 2004","1,201.43","1,210.22","1,235.16","1,196.57","-","-0.66%"
"Apr 22, 2004","1,209.36","1,230.39","1,248.77","1,206.16","-","-1.70%"
"Apr 21, 2004","1,230.23","1,288.61","1,288.61","1,226.82","-","-4.57%"
"Apr 20, 2004","1,289.15","1,283.71","1,290.88","1,269.43","-","0.43%"
"Apr 19, 2004","1,283.59","1,268.40","1,286.86","1,250.90","-","1.23%"
"Apr 16, 2004","1,267.98","1,294.11","1,297.92","1,263.86","-","-2.01%"
"Apr 15, 2004","1,294.05","1,275.67","1,296.30","1,263.34","-","1.45%"
"Apr 14, 2004","1,275.52","1,309.76","1,309.76","1,274.77","-","-2.66%"
"Apr 13, 2004","1,310.39","1,350.74","1,354.11","1,308.63","-","-3.00%"
"Apr 12, 2004","1,350.89","1,351.44","1,367.85","1,348.02","-","0.00%"
"Apr 09, 2004","1,350.87","1,344.88","1,352.78","1,337.18","-","0.45%"
"Apr 08, 2004","1,344.83","1,322.23","1,348.76","1,322.23","-","1.76%"
"Apr 07, 2004","1,321.51","1,292.46","1,323.08","1,285.47","-","2.27%"
"Apr 06, 2004","1,292.18","1,319.83","1,326.93","1,289.33","-","-2.07%"
"Apr 05, 2004","1,319.54","1,305.94","1,320.68","1,301.69","-","1.07%"
"Apr 02, 2004","1,305.51","1,287.76","1,306.45","1,284.42","-","1.36%"
"Apr 01, 2004","1,287.94","1,279.50","1,290.98","1,273.17","-","0.70%"
"Mar 31, 2004","1,279.05","1,264.50","1,288.65","1,263.60","-","1.17%"
"Mar 30, 2004","1,264.32","1,258.65","1,279.47","1,252.96","-","0.46%"
"Mar 29, 2004","1,258.49","1,228.68","1,259.59","1,227.82","-","2.38%"
"Mar 26, 2004","1,229.18","1,222.56","1,241.70","1,222.56","-","0.55%"
"Mar 25, 2004","1,222.50","1,217.91","1,234.14","1,212.35","-","0.37%"
"Mar 24, 2004","1,218.03","1,229.04","1,235.85","1,211.30","-","-0.88%"
"Mar 23, 2004","1,228.81","1,225.17","1,235.63","1,217.47","-","0.31%"
"Mar 22, 2004","1,225.03","1,246.83","1,258.26","1,217.64","-","-1.78%"
"Mar 19, 2004","1,247.21","1,220.43","1,249.70","1,216.09","-","2.18%"
